disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3026,,,,,,,,,,,4755a9e29703154391c51c53815e476d,2020-06-01T12:49:26.928Z,5aa2d587cb4f0f7020b18562
3031,,,,,,,,,,,7121641fbc16c4014282fffd3059157f,2020-06-01T12:49:26.947Z,5aa2d587cb4f0f7020b18563
3020,,,,,,,,,,,7c242b396afd92de902cbe8045de21b2,2020-06-01T12:49:26.924Z,5aa2d587cb4f0f7020b18567
3025,,,,,,,,,,,cb4c86d7e1601bea3651f2d950caf2dd,2020-06-01T12:49:26.925Z,5aa2d587cb4f0f7020b18568
3049,,,,,,,,,,,f53985d366fa21dbdf09997ef056eed3,2020-06-01T12:49:26.970Z,5aa2d587cb4f0f7020b1856c
3054,,,,,,,,,,,6964ae9df74ade67048333830864f2b2,2020-06-01T12:49:26.974Z,5aa2d587cb4f0f7020b1856d
3074,,,,,,,,,,,5123792e24e25f4384d2fd943b404a04,2020-06-01T12:49:27.005Z,5aa2d587cb4f0f7020b18571
3079,,,,,,,,,,,8adfc2732eb0edb60ecb834dcf50d657,2020-06-01T12:49:27.000Z,5aa2d587cb4f0f7020b18572
3099,,,,,552902.15,552902.15,,2021-02-12T00:00:00.000Z,,,4d5bc9439eac6a1c2ebc9604db065d1a,2021-02-12T05:03:26.621Z,5aa2d587cb4f0f7020b18576
3104,,,,,1808308.18,1808308.18,,2021-02-12T00:00:00.000Z,,,90c5bab59d156ba7e6bb536f6021414e,2021-02-12T05:03:26.624Z,5aa2d587cb4f0f7020b18577
3129,,,,,,,,,,,e242ba19e0f81f5313b7ec037f3b1e78,2020-06-01T12:49:27.089Z,5aa2d587cb4f0f7020b1857c
3041,,,,,,,,,,,3b4d230b29c08ea74e2bfe7536954e62,2020-06-01T12:49:26.953Z,5aa2d587cb4f0f7020b18565
3154,,,,,4385737.74,4510900.8,,2021-02-12T00:00:00.000Z,,,9ed1c09616dd52fc31a3175dad1240a6,2021-02-12T03:43:15.896Z,5aa2d587cb4f0f7020b18581
3039,,,,,,,,,,,c79a590ca7a34d7d703f01053f2ed33b,2020-06-01T12:49:26.951Z,5aa2d587cb4f0f7020b1856a
3047,,,,,,,,,,,fbacdf4f6828c3cbbc838dc731e29ed6,2020-06-01T12:49:26.967Z,5aa2d587cb4f0f7020b18586
3064,,,,,,,,,,,f4b2d5ff7028164712da524266082247,2020-06-01T12:49:26.997Z,5aa2d587cb4f0f7020b1856f
3072,,,,,,,,,,,6848aff75ee6c893356a5964e396bc59,2020-06-01T12:49:27.006Z,5aa2d587cb4f0f7020b1858b
3089,,,,,,,,,,,2603b19537d0800e025e0ac32bc2a3d9,2020-06-01T12:49:27.029Z,5aa2d587cb4f0f7020b18574
3097,,,,,20561775.35,20567814.41,-6039.06,2021-02-12T00:00:00.000Z,,,1133f9de4f16f4a06f6eb10664c90fff,2021-02-12T05:03:26.621Z,5aa2d587cb4f0f7020b18590
3114,,,,,2717998.2,2717998.2,0,2021-02-12T00:00:00.000Z,,,9371664a05ad8180f0cfa1d0cc4111a4,2021-02-12T05:03:26.630Z,5aa2d587cb4f0f7020b18579
3122,,,,,,,,,,,38fff344ed673ff205d7e3c265955375,2020-06-01T12:49:27.085Z,5aa2d587cb4f0f7020b18595
3139,,,,,1064337.65,1064337.65,,2021-02-12T00:00:00.000Z,,,a011191d6a34a8c34e8caefb14f52b00,2021-02-12T03:43:15.881Z,5aa2d587cb4f0f7020b1857e
3147,,,,,,,,,,,f7cf29a4ee27a3349b0f98025c07e346,2020-06-01T12:49:27.124Z,5aa2d587cb4f0f7020b1859a
3164,,,,,3404108.7,3403479.45,,2021-02-12T00:00:00.000Z,,,11dc7ba382c76dc554bccd2cc5453f24,2021-02-12T03:43:15.899Z,5aa2d587cb4f0f7020b18583
2927,,,,,1129647.45,97300.8,,2021-02-12T00:00:00.000Z,,0,1073657b34f4733da19d53dd2af447df,2021-02-12T03:43:15.766Z,5aa2d587cb4f0f7020b1859f
3057,,,,,,,,,,,aafb1e0da3e450728f91de6d3daf2a2a,2020-06-01T12:49:26.977Z,5aa2d587cb4f0f7020b18588
2952,,,,,3996374.6,63161.54,,2021-02-12T00:00:00.000Z,,0,a0ead77529ced2cc8a9a084ad86df0d0,2021-02-12T03:43:15.781Z,5aa2d587cb4f0f7020b185a4
3082,,,,,,,,,,,bad502c4110696d2d61f208fa6bb3aa3,2020-06-01T12:49:27.023Z,5aa2d587cb4f0f7020b1858d
2977,,,,,43502.24,,,2021-02-12T00:00:00.000Z,,0,203db7d5fd694a172b5a6231654aca11,2021-02-12T03:43:15.798Z,5aa2d587cb4f0f7020b185a9
3107,,,,,11978567.7,11938317.8,40249.9,2021-02-12T00:00:00.000Z,,,9f2e45b9c899e30a73186f2ecdd97f78,2021-02-12T05:03:26.625Z,5aa2d587cb4f0f7020b18592
3003,,,,,,,,,,,99f055cbf3175b07f45571e03ba3860e,2020-06-01T12:49:26.897Z,5aa2d587cb4f0f7020b185ae
3132,,,,,5544516.69,5523516.23,21000.46,2021-02-12T00:00:00.000Z,,,ae28328b800f2a204e50627b0cc8429e,2021-02-12T05:03:26.639Z,5aa2d587cb4f0f7020b18597
3028,,,,,,,,,,,909b35c9cbdb84461b4ac8198e7b3979,2020-06-01T12:49:26.945Z,5aa2d587cb4f0f7020b185b3
3157,,,,,4999310.11,4999310.11,,2021-02-12T00:00:00.000Z,,,a4b3f4a9e268b1d4a495816d614bc490,2021-02-12T03:43:15.897Z,5aa2d587cb4f0f7020b1859c
2937,,,,,807344.61,6117.8,,2021-02-12T00:00:00.000Z,,0,b11e1599b728d2cdde72a771b12e7ecc,2021-02-12T03:43:15.771Z,5aa2d587cb4f0f7020b185a1
2962,,,,,18826.83,8444.8,,2021-02-12T00:00:00.000Z,,0,0ce6d83c5d985539afb86d217d83bf50,2021-02-12T03:43:15.789Z,5aa2d587cb4f0f7020b185a6
2987,,,,,825108.7,35427.48,,2021-02-12T00:00:00.000Z,,0,8dde9640520d7807b72eaa5f8ba587dc,2021-02-12T03:43:15.803Z,5aa2d587cb4f0f7020b185ab
2975,,,,,0,0,,2021-02-12T00:00:00.000Z,,0,4097f9f06569233dc9cee0ebbdd2316f,2021-02-12T03:43:15.797Z,5aa2d587cb4f0f7020b18532
3013,,,,,,,,,,,c1b62258e813979f52d1db316b4187a0,2020-06-01T12:49:26.918Z,5aa2d587cb4f0f7020b185b0
3001,,,,,,,,,,,649da485362bfe9696e9d1ea7c780b3a,2020-06-01T12:49:26.902Z,5aa2d587cb4f0f7020b18537
3038,,,,,,,,,,,772e6ca6c99388de600ad24623027535,2020-06-01T12:49:26.952Z,5aa2d587cb4f0f7020b185b5
2909,,,,,3130495.15,,,2021-02-12T00:00:00.000Z,,0,8efcfc56554be5280bce481c6ed42543,2021-02-12T03:43:15.752Z,5aa2d587cb4f0f7020b1853c
2934,,,,,75493.88,,,2021-02-12T00:00:00.000Z,,0,edd742aa50cb71558390053016cf28f4,2021-02-12T03:43:15.769Z,5aa2d587cb4f0f7020b18541
3046,,,,,,,,,,,995e1871d6d86b81ca911c611a7e6c49,2020-06-01T12:49:26.966Z,5aa2d587cb4f0f7020b18566
2959,,,,,449229.15,50473.5,,2021-02-12T00:00:00.000Z,,0,af82103f13cdedb5ea8a816a7f439a3f,2021-02-12T03:43:15.787Z,5aa2d587cb4f0f7020b18546
3044,,,,,,,,,,,f38210e550309b31dcbcde59091ee776,2020-06-01T12:49:26.964Z,5aa2d587cb4f0f7020b1856b
2984,,,,,5679187.27,,,2021-02-12T00:00:00.000Z,,0,316c6ecc38408e603f82b767d78ab23a,2021-02-12T03:43:15.801Z,5aa2d587cb4f0f7020b1854b
3069,,,,,,,,,,,c3f4b8822c918dc15a6f001b96d19697,2020-06-01T12:49:27.000Z,5aa2d587cb4f0f7020b18570
3010,,,,,,,,,,,a286c74fc4b54751fc6705336f0d77b2,2020-06-01T12:49:26.914Z,5aa2d587cb4f0f7020b18550
3094,,,,,1994342.72,1994342.72,,2021-02-12T00:00:00.000Z,,,1f150a33ece5a83fdee0b803e9f8e177,2021-02-12T05:03:26.619Z,5aa2d587cb4f0f7020b18575
3029,,,,,,,,,,,318c2e939a881f8e94595c43a99b96bf,2020-06-01T12:49:26.946Z,5aa2d587cb4f0f7020b18555
3119,,,,,,,,,,,7400590d35385b724c91d9d45b63298f,2020-06-01T12:49:27.082Z,5aa2d587cb4f0f7020b1857a
3027,,,,,,,,,,,215a5c71f32e9382cdde14d0383e24ba,2020-06-01T12:49:26.928Z,5aa2d587cb4f0f7020b1855a
3144,,,,,3640300.38,3605459.48,42297.69,2021-02-12T00:00:00.000Z,,,a5dd8d5ed2b74df13c129182d8cb535a,2021-02-12T03:43:15.892Z,5aa2d587cb4f0f7020b1857f
2902,,,,,263462.41,263462.41,,2021-02-12T00:00:00.000Z,,0,51649efec72312b81abc3f7db9e0eee7,2021-02-12T03:43:15.748Z,5aa2d587cb4f0f7020b1855f
3037,,,,,,,,,,,76739a9c574ab10790c8d25ef0d182b8,2020-06-01T12:49:26.950Z,5aa2d587cb4f0f7020b18584
3036,,,,,,,,,,,964df8358942e430d22116c43e0f95d5,2020-06-01T12:49:26.944Z,5aa2d587cb4f0f7020b18564
3062,,,,,,,,,,,997cf69418bf886aa80f94d7bf1c0fa0,2020-06-01T12:49:26.996Z,5aa2d587cb4f0f7020b18589
3030,,,,,,,,,,,f2a4a60a3b39e3712178b8a18430876a,2020-06-01T12:49:26.944Z,5aa2d587cb4f0f7020b18569
3087,,,,,,,,,,,bd73ac13d09c538c699e7e01099a3b70,2020-06-01T12:49:27.026Z,5aa2d587cb4f0f7020b1858e
3059,,,,,,,,,,,97d21f64bb7a2cbee621bf2991bc6fd6,2020-06-01T12:49:26.978Z,5aa2d587cb4f0f7020b1856e
3112,,,,,5664851.19,5641754.36,23096.83,2021-02-12T00:00:00.000Z,,,2b5d6e601d1f7871c62839d23c4555d0,2021-02-12T05:03:26.627Z,5aa2d587cb4f0f7020b18593
3084,,,,,,,,,,,8f6221b5ac73e280fd74fbe78338368e,2020-06-01T12:49:27.023Z,5aa2d587cb4f0f7020b18573
